SYST_TRAJ_ID;FLPL_CALL_SIGN;FLPL_NUMB;FLPL_AIRC_TYPE;REQS_FLGT_LEVL;FLPL_DEPR_AIRP;FLPL_ARRV_AIRP;TRANSIT;MODES_ADRESS;FILE_DATE
202403160001688;UAL120;461423;B772;;KEWR;LEBL;;11192484;20240316
202403160002731;JAF89K;439412;B737;;GMMN;LFPO;;4499506;20240316
202403160003308;DLH27F;458986;A319;;LEBL;EDDM;;3957835;20240316
202403160004630;ITY576;454679;A20N;;LIRF;LSGG;;5025247;20240316
202403160005623;IC591;;;;;;;3267815;20240316
202403160007080;N310RH;434264;PC24;;EGKB;EDGS;;10700880;20240316
202403160008319;UAE4L;455469;B77W;;OMDB;LSGG;;9004196;20240316
202403160010460;BAW2816;443002;A320;;EGKK;DAAG;;4221787;20240316
202403160010501;EJU4833;444815;A320;;LFPO;LIPZ;;4457015;20240316
202403160010846;LGL713;435926;B738;;ELLX;GCTS;;5046515;20240316
202403160012630;FJALA;;;;;;;3735548;20240316
202403160012888;TAY6LQ;456283;B734;;LFPG;LIPE;;4458472;20240316
202403160014451;EJU58NJ;455337;A320;;LCLK;LFPG;;4456535;20240316
202403160018258;DLH07X;439627;A321;;LEBL;EDDF;;3957893;20240316
202403160018905;RYR92FW;445509;B738;;LPPR;EIDW;;5022965;20240316
202403160019004;FGBQE;;;;;;;3737092;20240316
202403160020226;SWR948D;455390;BCS3;;LSZH;EDDB;;4921353;20240316
202403160021234;AFR67EG;447139;A319;;LFPG;EFHK;;3753701;20240316
202403160021568;DLH981;444705;A319;;EIDW;EDDF;;3958150;20240316
202403160023332;NSZ5341;441108;B738;;ENAL;LEAL;;4901634;20240316
202403160000849;RYR82AE;454602;B738;;EBCI;LIME;;5055055;20240316
202403160002142;TVF56CE;455528;B738;;LFPO;EFKT;;3788457;20240316
202403160002404;N300LV;438197;CL30;;CYYR;LFRZ;;10690656;20240316
202403160003701;MODEA_7000;;;;;;;;20240316
202403160003799;HBKGO;;;;;;;4922130;20240316
202403160003852;NJE272H;459847;CL35;;LEPA;ESSB;;4787466;20240316
202403160005640;ACA842;461571;B789;;CYYZ;EDDF;;12594890;20240316
202403160008853;PROVIDER_TN_CRNA_E_4F-50-3016;;;;;;;;20240316
202403160009959;ITRNO;;;;;;;6293841;20240316
202403160010312;OOVCL;;;;;;;4511852;20240316
202403160010655;EWG7B;;;;;;;5055512;20240316
202403160010810;T7BBB;438618;P180;;LSZS;EDDH;;5243461;20240316
202403160010950;HBXZV;;;;;;;4931419;20240316
202403160012637;EXS1FD;455343;B738;;LOWS;EGCC;;4221173;20240316
202403160012743;FZBGG;;;;;;;3898201;20240316
202403160015044;NJE064B;464982;E55P;;LFSB;LEIB;;4800783;20240316
202403160015686;FGRPF;;;;;;;3753445;20240316
202403160018855;CAO3138;465789;B77L;;LEMD;ZSHC;;7867485;20240316
202403160019690;TYW433;461096;ASTR;;EGCC;LOWI;;4456656;20240316
202403160020806;DRAGO20;;;;;;;3898278;20240316
202403160021373;VOE2315;462616;A320;;GMMX;LFST;;3433945;20240316
202403160021859;MAC112X;440088;A320;;EBBR;GMMN;;131371;20240316
202403160022269;ANE32TT;456598;AT76;;LEMH;LEPA;;3424972;20240316
202403160022509;EZY20TW;442371;A320;;GCTS;EGGW;;4220520;20240316
202403160000268;AFR279;434483;B77W;;RJTT;LFPG;;3754505;20240316
202403160000294;HMJ078;429366;F900;;OEJN;LIMC;;5055320;20240316
202403160000558;NOS543;10028535;"";;TFFR;LIRF;;5024650;20240316
202403160000571;RYR87FF;458527;B738;;LIPE;LICT;;5054993;20240316
202403160000790;TVF76XF;453991;B738;;LFPO;GCFV;;3761394;20240316
202403160001317;AFR38AN;457150;BCS3;;LFPG;LEBL;;3784096;20240316
202403160002499;MODEA_7000;;;;;;;;20240316
