SYST_TRAJ_ID,FLPL_CALL_SIGN,FLPL_NUMB,FLPL_AIRC_TYPE,REQS_FLGT_LEVL,FLPL_DEPR_AIRP,FLPL_ARRV_AIRP,TRANSIT,MODES_ADRESS,FILE_DATE,frontiere_algerienne,premier_plot
202403210001143,DLH02J,618010.0,A321,,LFMN,EDDF,,3958356.0,20240321,False,0604
202403210001340,TVF78XG,602181.0,B738,,LFPO,LFMP,,3788452.0,20240321,False,0617
202403210002141,VJT473,620899.0,CL35,,LSZH,EHAM,,5055616.0,20240321,False,0709
202403210005124,MODEA_5410,,,,,,,,20240321,False,0915
202403210007644,INCAA,,,,,,,3147014.0,20240321,False,1034
202403210008147,DGZXD,627900.0,PA44,,EDFH,EDLP,,4051541.0,20240321,False,1050
202403210008709,ELY394,625727.0,B738,,LEBL,LLBG,,7569514.0,20240321,False,1108
202403210009032,FGOBR,,,,,,,3749937.0,20240321,False,1120
202403210011002,AFR069,623773.0,B77W,,KLAX,LFPG,,3761571.0,20240321,False,1232
202403210012078,2MUJJ,,,,,,,4451875.0,20240321,False,1307
202403210012755,FGVCL,622766.0,P32R,,LFMV,LFMA,,3757410.0,20240321,False,1327
202403210013073,V613,,,,,,,4947819.0,20240321,False,1336
202403210013956,FGFUM,,,,,,,3741324.0,20240321,False,1400
202403210015043,BAW347N,20001993.0,,,LIMN,EGGL,,4224308.0,20240321,False,1430
202403210016368,WZZ7165,601049.0,A321,,EGKK,LHBP,,4661102.0,20240321,False,1508
202403210016887,HBZUC,,,,,,,4932622.0,20240321,False,1523
202403210017283,AAB75P,594378.0,GL5T,,LIMC,LFLB,,4513168.0,20240321,False,1535
202403210018003,FHCHO,,,,,,,3770606.0,20240321,False,1558
202403210021387,GWI3XU,601123.0,A320,,EDDK,EDDM,,3951436.0,20240321,False,1818
202403210022061,LBT521,598888.0,A320,,LFPG,DTTA,,172462.0,20240321,False,1859
202403210022538,N302JG,588021.0,TBM7,,EGNS,EGJB,,10692495.0,20240321,False,1932
202403210024320,MSA94S,630814.0,A321,,LICA,LIPO,,5055623.0,20240321,False,2156
202403210024322,ABR8XP,658558.0,AT76,,LIMC,EBLG,,5024711.0,20240321,False,2157
202403210024476,DIAWE,658634.0,C425,,EDRY,EDDV,,4069768.0,20240321,False,2226
202403210000528,CPA037,587384.0,B744,,VIDP,LFPG,,7864858.0,20240321,False,0435
202403210004398,EJU69WU,601287.0,A320,,LPPT,LIMC,,4456853.0,20240321,False,0851
202403210005526,FHCMC,,,,,,,3770754.0,20240321,False,0928
202403210006167,VOE2188,619884.0,A319,,LFBT,LIRN,,3429846.0,20240321,False,0949
202403210007059,MODEA_5422,,,,,,,,20240321,False,1014
202403210008380,DCS713,602048.0,C56X,,EDTY,EDDH,,3983421.0,20240321,False,1058
202403210008890,UAL181,610746.0,B789,,EDDF,KDEN,,10638554.0,20240321,False,1114
202403210009631,FGNQD,,,,,,,3749379.0,20240321,False,1143
202403210010491,FSF941Y,597457.0,PC12,,EGLF,EHRD,,4589665.0,20240321,False,1213
202403210010705,BAW134,624205.0,B788,,VABB,EGLL,,4224227.0,20240321,False,1222
202403210011852,ANE55FT,598476.0,CRJX,,LEPA,LEMH,,3429783.0,20240321,False,1253
202403210012846,RYR68YY,10001169.0,,,EDDB,LEPA,,5025254.0,20240321,False,1330
202403210013482,DEAWU,,,,,,,3999480.0,20240321,False,1347
202403210014177,MODEA_1063,,,,,,,,20240321,False,1406
202403210014625,MODEA_4532,,,,,,,,20240321,False,1418
202403210015111,KQA100,,,,,,,311575.0,20240321,False,1432
202403210015419,FGIRD,622608.0,BE76,,LFPN,LFOP,,3744291.0,20240321,False,1440
202403210016216,FHBVD,,,,,,,3770019.0,20240321,False,1459
202403210016344,MODEA_6042,,,,,,,,20240321,False,1505
202403210017600,BAW975H,606885.0,A20N,,EDDH,EGLL,,4225934.0,20240321,False,1545
202403210018646,EJU41CZ,609646.0,A319,,LKPR,LFLL,,4456936.0,20240321,False,1620
202403210019884,GYYES,,,,,,,4226564.0,20240321,False,1705
202403210020416,KLM31W,609305.0,E190,,EHAM,EDDF,,4738084.0,20240321,False,1725
202403210021580,RMUS27,10002139.0,,,LFMI,LFMI,,3896675.0,20240321,False,1829
202403210024624,BBG251,601359.0,B738,,LEBL,LLBG,,5054950.0,20240321,False,2322
202403210001516,CFG2207,581813.0,A339,,MUHG,EDDF,,3963469.0,20240321,False,0628
202403210001979,VLG6ZT,606375.0,A320,,EHAM,LEVC,,3429272.0,20240321,False,0658
202403210002356,FHLVH,,,,,,,3780263.0,20240321,False,0721
202403210004837,EZY24VM,2219.0,A319,,EGKK,LIRP,,4219674.0,20240321,False,0906
202403210005092,CFE5C,618951.0,E190,,EGLC,EGPH,,4225488.0,20240321,False,0914
202403210005096,TVF8223,617457.0,B738,,DTTA,LFPO,,3788460.0,20240321,False,0914
202403210010169,PGC59E,628601.0,PC12,,LFKA,LFEV,,4505706.0,20240321,False,1202
202403210010563,EJU85ZP,607529.0,A320,,LSGG,EDDB,,4459768.0,20240321,False,1217
202403210010853,FUGBG,,,,,,,3896628.0,20240321,False,1227
202403210011983,MODEA_7000,,,,,,,,20240321,False,1304
202403210012757,OOMAR,,,,,,,4502578.0,20240321,False,1327
202403210013013,RYR45EX,600513.0,B38M,,LPPR,EHEH,,5024043.0,20240321,False,1335
202403210014501,WMT229,602967.0,A321,,LOWW,LEBL,,4661104.0,20240321,False,1415
202403210015357,MODEA_7000,,,,,,,,20240321,False,1439
202403210016018,VLG2EM,607658.0,A320,,LEBB,GCLP,,3425537.0,20240321,False,1457
202403210017641,FHRON,,,,,,,3786189.0,20240321,False,1546
202403210017891,FHOOT,,,,,,,3783123.0,20240321,False,1554
202403210018104,RGA04,,,,,,,4932527.0,20240321,False,1602
202403210019750,VLG3PH,599983.0,A320,,LEBL,LEPA,,3420564.0,20240321,False,1700
202403210020023,CFE86NH,598599.0,E190,,EGLC,EDDF,,4219440.0,20240321,False,1710
202403210021977,MOLOCH67,,,,,,,3756357.0,20240321,False,1854
202403210022507,FPO774,601722.0,B734,,LFKJ,LFML,,3761783.0,20240321,False,1930
202403210023496,TVF17SW,602659.0,B738,,LIRF,LFPO,,3789568.0,20240321,False,2032
202403210024028,AFR7410,617923.0,A321,,LFPG,LFBO,,3755017.0,20240321,False,2120
202403210024357,IHFRT,,,,,,,3147433.0,20240321,False,2203
202403210000977,MARDN,596912.0,FA7X,,MYNN,LSGS,,4344830.0,20240321,False,0549
202403210001956,RYR750R,616377.0,B738,,LEZL,LIMF,,5024345.0,20240321,False,0657
202403210003085,DUKE66,596049.0,BE20,,ETOU,ETNG,,11404530.0,20240321,False,0803
202403210004027,NJE5BF,623846.0,E55P,,LFPB,LSZS,,4800774.0,20240321,False,0838
202403210005357,TRITN03,,,,,,,4519586.0,20240321,False,0923
202403210007625,BAW965,608673.0,A320,,EDDH,EGLL,,4221308.0,20240321,False,1033
202403210008467,HBPRL,,,,,,,4925793.0,20240321,False,1101
202403210008482,ECJUO,,,,,,,3437334.0,20240321,False,1101
202403210009660,DLH5PV,621151.0,A319,,EDDM,EDDS,,3957836.0,20240321,False,1144
202403210011997,MODEA_7000,,,,,,,,20240321,False,1304
