FLPL_CALL_SIGN,FLPL_AIRC_TYPE,FLPL_DEPR_AIRP,FLPL_ARRV_AIRP,MODES_ADRESS,FILE_DATE,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Type of aircraft,Main Exemption code,Aircraft Registration,IFPLID,Mode S,Type Avion Survol
DAH1199,B736,LFMN,DABC,0A0027,2024-03-16,1108.0,LFMN,DABC,B736,Z,7TVJT    ,AA56958185,,B736
DAH1198,B736,DABC,LFMN,0A0027,2024-03-16,1454.0,DABC,LFMN,B736,Z,7TVJT    ,AA56959722,,B736
DAH1041,B736,LFMN,DAAG,0A0027,2024-03-16,1556.0,LFMN,DAAG,B736,Z,7TVJT    ,AA56947385,,B736
DAH1033,B736,LFLL,DAAG,0A0027,2024-03-18,1823.0,LFLL,DAAG,B736,Z,7TVJT    ,AA57016795,,B736
FNY5116,ATLA,LFRH,LFRH,3B9BD2,2024-03-16,1538.0,LFRH,LFRH,ATLA,M,FYPAU    ,         ,,ATLA
FNY5116,,LFRH,LFRH,3B9BD2,2024-03-16,1538.0,LFRH,LFRH,ATLA,M,FYPAU    ,         ,,ATLA
DLH569,A343,DNMM,EDDF,3C64F5,2024-03-16,337.0,DNMM,EDDF,A343,Z,DAIGU    ,AA56943750,,A343
N700VB,TBM7,LFGA,EDFM,A9566B,2024-03-16,1532.0,LFGA,LFGA,TBM7,Z,N700VB   ,         ,,TBM7
N700VB,TBM7,EDDH,EGKB,A9566B,2024-03-16,1532.0,LFGA,LFGA,TBM7,Z,N700VB   ,         ,,TBM7
N700VB,TBM7,LFRD,LFGA,A9566B,2024-03-16,1532.0,LFGA,LFGA,TBM7,Z,N700VB   ,         ,,TBM7
N700VB,TBM7,EGKB,LFRD,A9566B,2024-03-16,1532.0,LFGA,LFGA,TBM7,Z,N700VB   ,         ,,TBM7
EJU502E,A319,LFMN,LFBO,440625,2024-03-16,859.0,LFMN,LFBO,A319,Z,OELKM    ,AA56944667,,A319
FDX10,B77L,KMEM,LFPG,ABB2FE,2024-03-16,2227.0,LFPG,RJAA,B77L,Z,N874FD   ,AA56966791,AC05B3,B77L
RYR49LK,B738,GMMX,LIRN,4CA854,2024-03-16,1502.0,GMMX,LIRN,B738,Z,EIEML    ,AA56955509,,B738
RYR8KE,B738,GMMX,LIRA,4CA854,2024-03-18,631.0,GMMX,LIRA,B738,Z,EIEML    ,AA56999282,,B738
FHPMI,PA34,LFMH,LFMH,39BD88,2024-03-16,902.0,LFMH,LFMH,PA34,Z,FHPMI    ,AA56959482,,PA34
FHPMI,,,,39BD88,2024-03-16,902.0,LFMH,LFMH,PA34,Z,FHPMI    ,AA56959482,,PA34
FHPMI,,,,39BD88,2024-03-16,902.0,LFMH,LFMH,PA34,Z,FHPMI    ,AA56959482,,PA34
FHPMI,PA34,LFLY,LFMH,39BD88,2024-03-16,902.0,LFMH,LFMH,PA34,Z,FHPMI    ,AA56959482,,PA34
FHPMI,PA34,LFBP,LFBR,39BD88,2024-03-18,1020.0,LFBP,LFBR,PA34,Z,FHPMI    ,AA57013863,,PA34
FHPMI,PA34,LFHV,LFBP,39BD88,2024-03-18,1020.0,LFBP,LFBR,PA34,Z,FHPMI    ,AA57013863,,PA34
FHPMI,PA34,LFBR,LFHV,39BD88,2024-03-18,1020.0,LFBP,LFBR,PA34,Z,FHPMI    ,AA57013863,,PA34
OXF33,PA34,LFAT,LFQQ,406AA7,2024-03-16,1110.0,LFAT,LFQT,PA34,Z,GOXFE    ,AA56961026,,PA34
OXF33,PA34,EGTK,LFAT,406AA7,2024-03-16,1110.0,LFAT,LFQT,PA34,Z,GOXFE    ,AA56961026,,PA34
OXF33,PA34,LFAT,LFQT,406AA7,2024-03-16,1110.0,LFAT,LFQT,PA34,Z,GOXFE    ,AA56961026,,PA34
OCN139,A333,FYWH,EDDF,3C6566,2024-03-16,205.0,FYWH,EDDF,A333,Z,DAIKF    ,AA56938634,,A333
OCN143,A333,FYWH,EDDF,3C6566,2024-03-22,209.0,FYWH,EDDF,A333,Z,DAIKF    ,AA57102629,,A333
ITY801,A320,DAAG,LIRF,4CA993,2024-03-16,1714.0,DAAG,LIRF,A320,Z,EIIKF    ,AA56961244,,A320
EZS91EQ,,LFSB,GMAD,4BCCB5,2024-03-16,1639.0,LFSB,GMAD,A320,Z,HBJXP    ,AA56962073,4B1A29,B738
SXS72R,B738,LFSB,LTBJ,4BCCB5,2024-03-16,1315.0,LFSB,LTBJ,B738,Z,TCSEU    ,AA56952020,,B738
CTM1075,A332,LFLX,EPRZ,3B7566,2024-03-16,654.0,LFMI,LFLX,A332,M,FUJCO    ,AA56949390,,A332
CTM1075,A332,LFMI,LFLX,3B7566,2024-03-16,654.0,LFMI,LFLX,A332,M,FUJCO    ,AA56949390,,A332
CTM1075,A332,EPRZ,LFLX,3B7566,2024-03-16,654.0,LFMI,LFLX,A332,M,FUJCO    ,AA56949390,,A332
DLH1317,A320,DAAG,EDDF,3C6742,2024-03-16,1209.0,DAAG,EDDF,A320,Z,DAIZB    ,AA56953359,,A320
DLH561,A333,FNLU,EDDF,3C6573,2024-03-16,427.0,FNLU,EDDF,A333,Z,DAIKS    ,AA56942309,,A333
RYR8KE,B38M,GMMX,LIRA,4CAC56,2024-03-16,716.0,GMMX,LIRA,B38M,Z,EIHGT    ,AA56946703,,B38M
DLH566,A333,DNAA,EDDF,3C6570,2024-03-16,234.0,DNAA,EDDF,A333,Z,DAIKP    ,AA56942427,,A333
DLH566,A333,DNAA,EDDF,3C6570,2024-03-19,320.0,DNAA,EDDF,A333,Z,DAIKP    ,AA57024283,,A333
EAP64,PA34,LFPN,LFPM,3911CE,2024-03-16,1203.0,LFPM,LFPN,PA34,T,FGEOO    ,AA56945626,,PA34
EAP61,PA34,LFOP,LFPN,3911CE,2024-03-18,941.0,LFPN,LFOP,P28R,Z,FBXOB    ,AA56995403,385DC1,PA34
EAP61,PA34,LFOP,LFPN,3911CE,2024-03-18,1001.0,LFOP,LFPN,P28R,Z,FBXOB    ,AA56995488,385DC1,PA34
