Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2,case7,case8,case9,case10,case13,case15,case16,case18,ccrArrival,front_alg_fr,premier_plot_fr,modes_fr,Type_Avion_Survol
0001,F,1654,LFAQ,LFAQ,0CO434L  ,Z,DA40   ,Z  ,         ,,240320,         ,,,,,,,      ,,nan,nan,nan,nan,nan,nan,nan,nan,LILE,,nan,nan,
0002,F,928,LFML,LFML,130I     ,Z,H160   ,Z  ,         ,,240320,         ,,,,,,,      ,,nan,nan,nan,nan,nan,nan,nan,nan,MARS,,nan,nan,
0003,F,918,LFMN,LFPB,3AMGA    ,Z,FA8X   ,Z  ,3AMGA    ,,240320,AA57059502,,,,,,,4D403F,,3AMGA,IX ,FA8X/M,SBDE2E3FGHIJ1J3J4J5M1RWXY/LB1D1 ,LFMN0840 ,N0488F340 OKTET UM733 GIPNO UT26 LOGNI DCT MOKIP DCT ARFOZ UN854 DJL ,LFPB0101 LFPG ,"CODE/4D403F DOF/240320 EET/LFFF0005 IFP/MODESASP OPR/ALPHA GOLF AVIATION MONACO ORGN/KHOUUVAX PER/C REG/3AMGA RMK/DIPLOMATIC FLIGHT ASLLFMND000021121 LFPB HANDLER DASSAULT APRON FOXTROT1 RVR/550 SEL/AHGP STS/HEAD SUR/260B)
",NICE,,nan,nan,
0004,F,1232,LFPB,LFMN,3AMGA    ,Z,FA8X   ,Z  ,3AMGA    ,,240320,AA57059503,,,,,,,4D403F,,3AMGA,IX ,FA8X/M,SBDE2E3FGHIJ1J3J4J5M1RWXY/LB1D1 ,LFPB1200 ,N0477F390 LATRA DCT LAMUT DCT UTUVA DCT LERGA DCT LIQID UY30 LATAM UY22 NISAR ,LFMN0102 LFML ,"CODE/4D403F DOF/240320 EET/LFMM0052 IFP/MODESASP OPR/ALPHA GOLF AVIATION MONACO ORGN/KHOUUVAX PER/C REG/3AMGA RMK/DIPLOMATIC FLIGHT LFPB HANDLER DASSAULT FALCON SERVICE ASLLFMNA000021978 RVR/550 SEL/AHGP STS/HEAD SUR/260B)
",CDG,,nan,nan,
0005,F,1509,LFMD,LFPB,3AMSR    ,Z,C525   ,Z  ,3AMSR    ,,240320,AA57016858,,,,,,,4D4038,,3AMSR,IG ,C525/L,SBDFGRWYZ/HB1V1 ,LFMD1400 ,N0385F340 OKTET UM733 BULOL UN854 LOGNI DCT MOKIP DCT ARFOZ UN854 DJL ,LFPB0111 LFPT ,"DAT/CPDLCX DOF/240320 EET/LFEE0037 LFFF0049 IFP/MODESASP OPR/AVIARENT ORGN/KAUSZXBT PER/B REG/3AMSR RMK/ASLLFPBASTON CREW CONTACT 0033680309680 FILED BY 00441273782130 RVR/550)
",NICE,False,1058.0,4D4038,C525
0006,F,1435,DNAA,LFPB,5NFGU    ,Z,FA7X   ,Z  ,5NFGU    ,,240320,AA57065756,,,,,,,0640F0,,5NFGU,IX ,FA7X/M,SBDFGHIRWXY/S ,DNAA0900 ,N0463F390 DCT OXORU UV456 KUA UR778 KAN/N0458F400 UA604 AS UR978 BOD/N0452F430 UR978 KAMER DCT NAFOQ DCT SURJU DCT PADKO UN854 RUSIT/N0451F380 UN854 LOGNI DCT MOKIP DCT ARFOZ UN854 DJL ,LFPB0559 LFPG ,"DOF/240320 EET/DRRR0038 DAAA0144 LFMM0415 LFEE0517 LFFF0530 IFP/MODESASP OPR/FEDERAL GOVT OF NIGERIA ORGN/EKBICPUF PER/C REG/5NFGU RMK/LFPB HANDLER DASSAULT AVIATION PARKING STND F1 DASSAULT HANGAR I
",ALGR,,nan,nan,
0009,F,1350,LFKF,LIMP,9HRZZ    ,Z,C510   ,Z  ,9HRZZ    ,,240320,AA57072371,,,,,,,4D250E,,9HRZZ,IG ,C510/L,SBDGRWXY/LB1 ,LFKF1330 ,N0343F280 AJO A9 TORTU M858 OTMUV Z388 EKPAL M859 LUPOS ,LIMP0055 LIPE ,"DOF/240320 EET/LFFF0007 LIMM0028 IFP/MODESASP ORGN/EKODFFLX REG/9HRZZ RMK/PIC TEL 00393473847454)
",CORS,,nan,nan,
0010,F,1745,LFML,EBKT,AAB24X   ,Z,C25C   ,Z  ,OOROK    ,,240320,AA57076173,,,,,,,44C9EB,,AAB24X,IN ,C25C/M,SBDGRWXYZ/LB1 ,LFML1645 ,N0443F340 ETREK UM976 MOPEM DCT CACHI DCT AVLON UM976 OKRIX/N0446F320 UM976 KOPOR UN874 NURMO/N0444F100 N874 VEKIN N873 FERDI ,EBKT0113 LFQQ EBBR ,"CODE/44C9EB DAT/CPDLCX DOF/240320 EET/LFFF0004 EBBU0104 IFP/MODESASP OPR/AAB ORGN/EKODFFLX PER/B REG/OOROK RMK/ACAS II PIC TEL 32479311344)
",MARS,,nan,nan,
0013,F,1635,LFSN,ELLX,AAB47L   ,Z,C25C   ,Z  ,OOLUX    ,,240320,AA57039309,,,,,,,44B2B8,,AAB47L,IN ,C25C/M,SBDFGRWXYZ/LB1 ,LFSN1630 ,N0278F070 AKELU/N0278F080 ,ELLX0021 LFJL EDFH ,"CODE/44B2B8 DAT/CPDLCX DOF/240320 EET/EDGG0010 EBBU0011 IFP/MODESASP OPR/AAB ORGN/EKODFFLX PER/B REG/OOLUX RMK/ACAS II ELLX PPR61245 PIC TEL 33 681 190 354)
",STBG,False,1738.0,44B2B8,C25C
0015,F,1609,LFBD,EBKT,AAB47R   ,Z,C25C   ,Z  ,OONSG    ,,240320,AA57050755,,,,,,,44BA67,,AAB47R,IN ,C25C/M,SBDGRWXYZ/LB1 ,LFBD1600 ,N0448F310 CNA DCT ADABI DCT BOKNO/N0446F320 UN858 VANAD/N0439F260 UN874 BAMES UT191 PODEM UN873 SOMIL UZ274 PERON UN874 SULEX/N0281F080 UN874 CMB M617 CIV Y50 FERDI DCT GOLEX L607 MAK ,EBKT0106 LFQQ EBBR ,"CODE/44BA67 DAT/CPDLCX DOF/240320 EET/LFFF0005 EBBU0056 IFP/MODESASP OPR/AAB ORGN/EKODFFLX PER/B REG/OONSG RMK/ACAS II PIC TEL 32 474 53 21 88)
",MERI,,nan,nan,
