Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2
0174,F,946,LFPG,EDDB,AFR69NH  ,Z,A321   ,Z  ,FGTAZ    ,,240114,AA55340478,,,,,,,,
0175,F,1422,LFPG,LHBP,AFR1294  ,Z,A320   ,Z  ,FGKXZ    ,,240114,AA55345598,,,,,,,,
0180,F,234,FACT,EGLL,BAW58L   ,Z,A35K   ,Z  ,GXWBC    ,,240115,AA55353603,,,,,,,,
0183,F,1857,LFPG,RKSI,AAR502   ,Z,A359   ,Z  ,HL757    ,,240114,AA55351813,,,,,,,,
0184,F,1909,LFPG,RJTT,ANA216   ,Z,B789   ,Z  ,JA933    ,,240114,AA55353938,,,,,,,,
0186,F,1920,LFPG,ZBAA,CCA934   ,Z,B77W   ,Z  ,B2040    ,,240114,AA55354741,,,,,,,,
0187,F,1855,LFGA,EDNY,LHB1     ,Z,E55P   ,Z  ,DCLAM    ,,240114,AA55326960,,,,,,,,
0191,F,1954,LFPG,VIDP,AIC142   ,Z,B788   ,Z  ,VTANT    ,,240114,AA55353230,,,,,,,,
0198,F,523,FAOR,EGLL,BAW54    ,Z,B789   ,Z  ,GZBKM    ,,240115,AA55356278,,,,,,,,
0200,F,328,HUEN,EHAM,KLM536   ,Z,A332   ,Z  ,PHAOD    ,,240115,AA55354269,,,,,,,,
0202,F,2115,LFOB,EIDW,RYR594E  ,Z,B738   ,Z  ,EIEBL    ,,240114,AA55351242,,,,,,,,
0203,F,220,FKYS,EBBR,BEL12B   ,Z,A333   ,Z  ,OOSFB    ,,240115,AA55352658,,,,,,,,
0210,F,450,HRYR,EGLL,RWD710   ,Z,A333   ,Z  ,9XRWP    ,,240115,AA55355861,,,,,,,,
