compare	Code_1	Code_2	Time of departure/entry_1	Time of departure/entry_2	Departure aerodrome_1	Departure aerodrome_2	Arrival aerodrome_1	Arrival aerodrome_2	Flight identification_1	Flight identification_2	Main Exemption code_1	Main Exemption code_2	Type of aircraft_1	Type of aircraft_2	Operator_1	Operator_2	Aircraft Registration_1	Aircraft Registration_2	Comment1_1	Comment1_2	Flight date_1	Flight date_2	IFPLID_1	IFPLID_2	Planned_aerodrome_1	Planned_aerodrome_2	Charging_zone_overflow_1	Charging_zone_overflow_2	Entry_point_1	Entry_point_2	Exit_point_1	Exit_point_2	Sup_exemption_code_1	Sup_exemption_code_2	Source of the Aircraft Address_1	Source of the Aircraft Address_2	24-bit Aircraft Address_1	24-bit Aircraft Address_2	Comment2_1	Comment2_2
0	F	F	35	55	LFPG	LFPG	LFBO	LFBO	SWT5629  	SWT5629  	Z	Z	B738   	B738   	Z  	Z  	ECNXV    	ECOBN    			      	240316	AA56912382	AA56942755												1.0		3474CE		
0	F	F	213	342	EDDP	EDDP	LFPG	LFPG	BCS24M   	BCS24M   	Z	Z	B763   	A306   	Z  	Z  	OELYC    	DAEAA    			      	240316	AA56911031	AA56945217												1.0		3C5421		
0	F	F	306	340	EDDK	EDDK	LFPG	LFPG	UPS218   	UPS218   	Z	Z	B763   	B763   	Z  	Z  	N359U    	N328UP   			      	240316	AA56914179	AA56946187												1.0		A38DD8		
0	F	F	339	316	KJFK	KJFK	LFPG	LFPG	AFR1M    	AFR1M    	Z	Z	B772   	B772   	Z  	Z  	FGSPD    	FGSPQ    			      	240316	AA56910449	AA56940408												3.0		3949F0		
0	F	F	405	211	ZSPD	ZSPD	LFPG	LFPG	CES553   	CES553   	Z	Z	B77W   	B77W   	Z  	Z  	B7369    	B2020    			      	240316	AA56907623	AA56936717												3.0		780D9C		
0	F	F	312	235	GOBD	GOBD	LFPG	LFPG	AFR719   	AFR719   	Z	Z	B77W   	B77W   	Z  	Z  	FGZNU    	FGSQE    			      	240316	AA56916173	AA56944561												4.0		394A04		
0	F	F	442	338	KATL	KATL	LFPG	LFPG	DAL82    	DAL82    	Z	Z	A333   	A333   	Z  	Z  	N819N    	N819NW   			      	240316	AA56912912	AA56942351																
0	F	F	349	412	KBOS	KBOS	LFPG	LFPG	AFR333P  	AFR333P  	Z	Z	B77W   	B77W   	Z  	Z  	FGZNQ    	FGZNK    			      	240316	AA56911820	AA56942602												3.0		3965AA		
0	F	F	431	359	KJFK	KJFK	LFPG	LFPG	AAL44    	AAL44    	Z	Z	B772   	B772   	Z  	Z  	N752A    	N788AN   			      	240316	AA56916069	AA56944416												3.0		AAAE4B		
0	F	F	406	344	KIAD	KIAD	LSGG	LSGG	UAL974   	UAL974   	Z	Z	B763   	B763   	Z  	Z  	N684U    	N653UA   			      	240316	AA56912027	AA56942564																
0	F	F	500	637	LFRS	LFRS	GMMX	GMMX	EJU68UV  	EJU68UV  	Z	Z	A319   	A319   	Z  	Z  	OELKX    	OELKX    			      	240316	AA56909303	AA56940790												1.0		440C36		
0	F	F	348	153	TFFR	TFFR	LFPO	LFPO	AFR751   	AFR751   	Z	Z	B77W   	B77W   	Z  	Z  	FGSQR    	FGZNL    			      	240316	AA56912641	AA56942254																
0	F	F	525	640	LFMN	LFMN	EDDM	EDDM	DLH07Y   	DLH07Y   	Z	Z	A20N   	A319   	Z  	Z  	DAIJN    	DAIBN    			      	240316	AA56911134	AA56941577												1.0		3C644E		
0	F	F	445	507	KIAD	KIAD	LFPG	LFPG	UAL915   	UAL915   	Z	Z	B772   	B772   	Z  	Z  	N2701    	N787UA   			      	240316	AA56913139	AA56941624												3.0		AAAC4A		
0	F	F	530	514	LFBD	LFBD	GMMX	GMMX	EJU57EZ  	EJU57EZ  	Z	Z	A320   	A319   	Z  	Z  	OEIJZ    	OELQP    			      	240316	AA56909821	AA56939484												1.0		4405B6		
0	F	F	455	358	ZBAA	ZBAA	LFPG	LFPG	CCA875   	CCA875   	Z	Z	B77W   	B77W   	Z  	Z  	B1428    	B1430    			      	240316	AA56909956	AA56939182																
0	F	F	500	601	LFPO	LFPO	LEZL	LEZL	TVF32JZ  	TVF32JZ  	Z	Z	B738   	B738   	Z  	Z  	FGZHC    	FGZHZ    			      	240316	AA56911450	AA56941475												1.0		3964F9		
0	F	F	525	548	LFPG	LFPG	LIML	LIML	EJU16TK  	EJU16TK  	Z	Z	A319   	A320   	Z  	Z  	OELKC    	OEIJD    			      	240316	AA56909740	AA56940027												1.0		44015A		
0	F	F	514	426	KJFK	KJFK	LFPG	LFPG	JBU1407  	JBU1407  	Z	Z	A21N   	A21N   	Z  	Z  	N4058    	N4022J   			      	240316	AA56913667	AA56942549												3.0		A4B6B6		
0	F	F	555	615	LFSB	LFSB	EDDF	EDDF	DLH9YX   	DLH9YX   	Z	Z	CRJ9   	CRJ9   	Z  	Z  	DACNL    	DACNO    			      	240316	AA56912574	AA56942081												1.0		3C4DCF		
0	F	F	540	539	LFPG	LFPG	EDDF	EDDF	DLH1J    	DLH1J    	Z	Z	A320   	A321   	Z  	Z  	DAIZZ    	DAISN    			      	240316	AA56913143	AA56941087												1.0		3C666E		
0	F	F	444	507	GOBD	GOBD	LFPG	LFPG	SZN403   	SZN403   	Z	Z	A339   	A339   	Z  	Z  	6VANB    	6VANB    			      	240316	AA56912429	AA56942967																
0	F	F	536	440	KATL	KATL	LFPG	LFPG	AFR681K  	AFR681K  	Z	Z	B789   	B789   	Z  	Z  	FHRBE    	FHRBE    			      	240316	AA56913094	AA56941860																
0	F	F	521	511	LIMF	LIMF	LFPG	LFPG	AFR78WM  	AFR78WM  	Z	Z	E170   	E170   	Z  	Z  	FHBXD    	FHBXM    			      	240316	AA56897860	AA56926582												3.0		3986EC		
0	F	F	500	512	LFBD	LFBD	LFPG	LFPG	AFR39MB  	AFR39MB  	Z	Z	A321   	A320   	Z  	Z  	FGMZD    	FGKXH    			      	240316	AA56918353	AA56947291												1.0		392AE7		
0	F	F	515	504	LFPO	LFPO	LEMD	LEMD	TVF13DD  	TVF13DD  	Z	Z	B738   	B738   	Z  	Z  	FGZHO    	FGZHL    			      	240316	AA56911728	AA56941165												1.0		3964EB		
0	F	F	505	533	LFBO	LFBO	LFPG	LFPG	AFR93NY  	AFR93NY  	Z	Z	A321   	A321   	Z  	Z  	FGMZE    	FGMZD    			      	240316	AA56918468	AA56947393												1.0		393323		
0	F	F	545	630	EDDN	EDDN	LFPG	LFPG	AFR41PX  	AFR41PX  	Z	Z	E190   	E190   	Z  	Z  	FHBLP    	FHBLG    			      	240316	AA56897864	AA56947116												1.0		398566		
0	F	F	520	533	LFPO	LFPO	GCTS	GCTS	TVF81ML  	TVF81ML  	Z	Z	B738   	B738   	Z  	Z  	FHUYR    	FGZHC    			      	240316	AA56911827	AA56941567												1.0		3964E2		
0	F	F	535	609	LFRS	LFRS	LFPG	LFPG	AFR52PN  	AFR52PN  	Z	Z	E190   	E170   	Z  	Z  	FHBLF    	FHBXC    			      	240316	AA56897820	AA56927910												1.0		3986E2		
0	F	F	530	531	LFBO	LFBO	LFPO	LFPO	AFR98UQ  	AFR98UQ  	Z	Z	A318   	A319   	Z  	Z  	FGUGQ    	FGRHF    			      	240316	AA56919074	AA56947897												1.0		3944E5		
0	F	F	525	530	LFRB	LFRB	LFPG	LFPG	AFR56LW  	AFR56LW  	Z	Z	A320   	A319   	Z  	Z  	FGKXP    	FGRXF    			      	240316	AA56918948	AA56947775												1.0		3946E5		
0	F	F	616	524	EKCH	EKCH	LFOB	LFOB	RYR9T    	RYR9T    	Z	Z	B738   	B738   	Z  	Z  	9HQCK    	9HQAY    			      	240316	AA56918638	AA56947359												1.0		4D2262		
0	F	F	520	627	LFBD	LFBD	LFPG	LFPG	AFR77AU  	AFR77AU  	Z	Z	E190   	E190   	Z  	Z  	FHBLS    	FHBLJ    			      	240316	AA56897842	AA56928454												1.0		398569		
0	F	F	521	516	KJFK	KJFK	LFPG	LFPG	AFR5X    	AFR5X    	Z	Z	B77W   	B77W   	Z  	Z  	FGSQY    	FGSQY    			      	240316	AA56915458	AA56945198												3.0		394A18		
0	F	F	550	608	LFBD	LFBD	EGKK	EGKK	EJU13LT  	EJU13LT  	Z	Z	A320   	A320   	Z  	Z  	OEIVJ    	OEIVZ    			      	240316	AA56910247	AA56940330												1.0		4402AE		
0	F	F	612	628	LFPG	LFPG	EGLL	EGLL	BAW30T   	BAW30T   	Z	Z	A21N   	A320   	Z  	Z  	GNEOX    	GEUYS    			      	240316	AA56908721	AA56938921												1.0		406A02		
0	F	F	530	720	LFPO	LFPO	LEMG	LEMG	VLG8171  	VLG8171  	Z	Z	A21N   	A321   	Z  	Z  	ECNYE    	ECNLY    			      	240316	AA56914457	AA56944703												1.0		346692		
0	F	F	610	631	LFPO	LFPO	LIMC	LIMC	VLG5JA   	VLG5JA   	Z	Z	A321   	A321   	Z  	Z  	ECMQB    	ECMGZ    			      	240316	AA56915583	AA56944755												1.0		34469A		
0	F	F	539	526	LIMC	LIMC	LFPG	LFPG	EJU52QT  	EJU52QT  	Z	Z	A20N   	A319   	Z  	Z  	OELSQ    	OELQB    			      	240316	AA56909656	AA56939794												3.0		440631		
0	F	F	551	555	EBBR	EBBR	LFPG	LFPG	BEL3ZY   	BEL3ZY   	Z	Z	A320   	A320   	Z  	Z  	OOSNH    	OOSNQ    			      	240316	AA56915980	AA56944949												1.0		44CDD1		
0	F	F	539	558	LFPO	LFPO	GMMX	GMMX	RAM641B  	RAM641B  	Z	Z	B738   	B738   	Z  	Z  	CNRGJ    	CNRNZ    			      	240316	AA56912873	AA56942405												1.0		020057		
0	F	F	620	635	LFPO	LFPO	LIRF	LIRF	EJU35PM  	EJU35PM  	Z	Z	A320   	A320   	Z  	Z  	OEIVT    	OEIJK    			      	240316	AA56910791	AA56940723												1.0		440095		
0	F	F	608	636	EDDL	EDDL	LFPG	LFPG	AFR53PC  	AFR53PC  	Z	Z	E190   	E190   	Z  	Z  	FHBLV    	FHBLO    			      	240316	AA56908315	AA56946886												1.0		39856E		
