compare	Code_1	Code_2	Time of departure/entry_1	Time of departure/entry_2	Departure aerodrome_1	Departure aerodrome_2	Arrival aerodrome_1	Arrival aerodrome_2	Flight identification_1	Flight identification_2	Main Exemption code_1	Main Exemption code_2	Type of aircraft_1	Type of aircraft_2	Operator_1	Operator_2	Aircraft Registration_1	Aircraft Registration_2	Comment1_1	Comment1_2	Flight date_1	Flight date_2	IFPLID_1	IFPLID_2	Planned_aerodrome_1	Planned_aerodrome_2	Charging_zone_overflow_1	Charging_zone_overflow_2	Entry_point_1	Entry_point_2	Exit_point_1	Exit_point_2	Sup_exemption_code_1	Sup_exemption_code_2	Source of the Aircraft Address_1	Source of the Aircraft Address_2	24-bit Aircraft Address_1	24-bit Aircraft Address_2	Comment2_1	Comment2_2
0	F	F	151	151	FACT	FACT	EGLL	EGLL	BAW58L   	BAW58L   	Z	Z	A35K   	A35K   	Z  	Z  	GXWBJ    	GXWBJ    			240316	240316	AA56938716	AA56938716												1.0		407AF5		
0	F	F	221	221	FAOR	FAOR	EGLL	EGLL	VIR450   	VIR450   	Z	Z	B789   	B789   	Z  	Z  	GVBZZ    	GVBZZ    			240316	240316	AA56938717	AA56938717												1.0		406E0F		
0	F	F	306	306	FAOR	FAOR	EGLL	EGLL	BAW56    	BAW56    	Z	Z	A388   	A388   	Z  	Z  	GXLEA    	GXLEA    			240316	240316	AA56940004	AA56940004												1.0		40688B		
0	F	F	528	528	FAOR	FAOR	EGLL	EGLL	BAW54    	BAW54    	Z	Z	B789   	B789   	Z  	Z  	GZBKJ    	GZBKJ    			240316	240316	AA56942336	AA56942336												1.0		406F76		
0	F	F	212	212	FKYS	FKYS	EBBR	EBBR	BEL39G   	BEL39G   	Z	Z	A333   	A333   	Z  	Z  	OOSFF    	OOSFF    			240316	240316	AA56937680	AA56937680												1.0		44CCC6		
0	F	F	212	212	DIAP	DIAP	EBBR	EBBR	BEL29B   	BEL29B   	Z	Z	A333   	A333   	Z  	Z  	OOSFE    	OOSFE    			240316	240316	AA56938956	AA56938956												1.0		44CCC5		
0	F	F	336	336	FZAA	FZAA	EBBR	EBBR	BEL38K   	BEL38K   	Z	Z	A333   	A333   	Z  	Z  	OOSFB    	OOSFB    			240316	240316	AA56939277	AA56939277												1.0		44CCC2		
0	F	F	351	351	HUEN	HUEN	EBBR	EBBR	BEL4UR   	BEL4UR   	Z	Z	A333   	A333   	Z  	Z  	OOSFH    	OOSFH    			240316	240316	AA56937967	AA56937967												1.0		44CCC8		
0	F	F	443	443	HKJK	HKJK	EGLL	EGLL	KQA102   	KQA102   	Z	Z	B788   	B788   	Z  	Z  	5YKZD    	5YKZD    			240316	240316	AA56941489	AA56941489												1.0		04C11A		
0	F	F	231	231	DNMM	DNMM	EHAM	EHAM	KLM588   	KLM588   	Z	Z	A332   	A332   	Z  	Z  	PHAOA    	PHAOA    			240316	240316	AA56941188	AA56941188												1.0		48440F		
0	F	F	437	437	HRYR	HRYR	EGLL	EGLL	RWD710   	RWD710   	Z	Z	A332   	A332   	Z  	Z  	9XRWX    	9XRWX    			240316	240316	AA56941082	AA56941082												1.0		06E028		
0	F	F	415	415	DNAA	DNAA	LFPG	LFPG	AFR866   	AFR866   	Z	Z	A332   	A332   	Z  	Z  	FGZCF    	FGZCF    			240316	240316	AA56941354	AA56941354												1.0		396445		
0	F	F	645	645	FAOR	FAOR	EHAM	EHAM	KLM592   	KLM592   	Z	Z	B77W   	B77W   	Z  	Z  	PHBVF    	PHBVF    			240316	240316	AA56940902	AA56940902												1.0		484CBA		
0	F	F	237	237	DNMM	DNMM	EGLL	EGLL	BAW74    	BAW74    	Z	Z	B78X   	B78X   	Z  	Z  	GZBLF    	GZBLF    			240316	240316	AA56938736	AA56938736												1.0		407AF1		
