compare,Flight date_2,Time of departure/entry_2,Departure aerodrome_2,Arrival aerodrome_2,Flight identification_2,Type of aircraft_2
vols_only_data_2_plus_2T,240323,15,FBSK,EGGW,MLWSG    ,GLEX   
vols_only_data_2_plus_2T,240323,1342,LFSB,LFSB,WZZ3528  ,A320   
vols_only_data_2_plus_2T,240323,16,FCOD,LFPB,KFE311   ,FA7X   
vols_only_data_2_plus_2T,240323,0,LFLL,LFCR,N700JV   ,TBM7   
vols_only_data_2_plus_2T,240323,1117,FGSL,EGLF,GJI098   ,GLF6   
vols_only_data_2_plus_2T,240323,956,LFLI,LIMJ,N275LH   ,TBM7   
vols_only_data_2_plus_2T,240324,4,LFPG,SCEL,AFR406   ,B772   
vols_only_data_2_plus_2T,240324,224,FKYS,EBBR,BEL3DY   ,A333   
vols_only_data_2_plus_2T,240324,2341,LFPG,VIDP,FDX5384  ,B77L   
vols_only_data_2_plus_2T,240324,14,LFMT,LFPG,AIA172   ,E145   
vols_only_data_2_plus_2T,240324,2014,DTTJ,LFPO,TVF8603  ,B738   
vols_only_data_2_plus_2T,240324,1710,LFQQ,LFQQ,FGTRY    ,C525   
vols_only_data_2_plus_2T,240322,242,FCBB,LFPG,AFR722   ,A359   
vols_only_data_2_plus_2T,240322,1230,LFQT,LFAT,OXF14    ,PA34   
vols_only_data_2_plus_2T,240322,1228,LFBD,LFBC,ENZO     ,M346   
vols_only_data_2_plus_2T,240322,1010,LFLV,LFLW,NAK744   ,BE58   
vols_only_data_2_plus_2T,240322,1302,LFLI,LSZS,FSF788G  ,PC12   
vols_only_data_2_plus_2T,240321,234,FACT,EGLL,BAW58L   ,A35K   
vols_only_data_2_plus_2T,240321,252,FKYS,EBBR,BEL39G   ,A333   
vols_only_data_2_plus_2T,240321,902,LFBZ,LFBZ,CTM1727  ,E121   
vols_only_data_2_plus_2T,240321,906,LFKJ,LFKJ,CTM1280  ,F2TH   
vols_only_data_2_plus_2T,240321,915,LFBL,LFBL,CTM1755  ,E121   
vols_only_data_2_plus_2T,240321,945,LFBL,LFBL,FNY55F7  ,FA10   
vols_only_data_2_plus_2T,240321,1008,LFCC,LFBP,FMY8609  ,AS32   
vols_only_data_2_plus_2T,240321,1024,LFBP,LFBP,FMY8521  ,NH90   
vols_only_data_2_plus_2T,240321,1110,LFBL,LFBL,FAF6515  ,PC21   
vols_only_data_2_plus_2T,240321,1320,LFBL,LFBL,FAF6515  ,PC21   
vols_only_data_2_plus_2T,240321,1359,LFBL,LFBL,FNY55G8  ,FA10   
vols_only_data_2_plus_2T,240321,1621,DAAE,LFPO,TVF7289  ,B738   
vols_only_data_2_plus_2T,240321,126,DRZA,ETAR,BRK80    ,C17    
vols_only_data_2_plus_2T,240321,1511,LFLJ,LSZH,HBFVD    ,PC12   
vols_only_data_2_plus_2T,240321,1534,LFBT,LFBT,FWWRS    ,TBM9   
vols_only_data_2_plus_2T,240321,1310,LFQQ,LFAC,SAMU59   ,EC45   
vols_only_data_2_plus_2T,240321,1006,LFMN,LIRQ,FHTMM    ,DA62   
vols_only_data_2_plus_2T,240320,808,DABC,LFML,DAH1426  ,B738   
vols_only_data_2_plus_2T,240320,951,LFBT,LFBO,AIB67EO  ,A20N   
vols_only_data_2_plus_2T,240320,920,LFRN,LFRN,FMY8042  ,TBM7   
vols_only_data_2_plus_2T,240320,947,LFBP,LFBP,FMEBQ    ,NH90   
vols_only_data_2_plus_2T,240320,1519,LFBP,LFBP,FMBKB    ,TIGR   
vols_only_data_2_plus_2T,240320,653,DNMM,LFSB,THY6080  ,A332   
vols_only_data_2_plus_2T,240320,1520,LFBH,LFBH,DRAGO17  ,EC45   
vols_only_data_2_plus_2T,240320,1727,DAAG,LIRF,ITY801   ,A20N   
vols_only_data_2_plus_2T,240319,1339,LFMV,LFMV,DGNAT    ,PA34   
vols_only_data_2_plus_2T,240319,1546,LFKB,LFKB,AGH03A   ,BE20   
vols_only_data_2_plus_2T,240319,922,LFBL,LFBL,CTM1725  ,E121   
vols_only_data_2_plus_2T,240319,926,LFBL,LFBL,FNY55F7  ,FA10   
vols_only_data_2_plus_2T,240319,1240,LFOJ,EBMB,CTM2039  ,A400   
vols_only_data_2_plus_2T,240319,1414,LFRN,LFRN,FMY8042  ,TBM7   
vols_only_data_2_plus_2T,240319,1621,LFRN,LFRN,FNY5142  ,ATLA   
vols_only_data_2_plus_2T,240319,1631,LFRN,LFRN,FNY5142  ,ATLA   
vols_only_data_2_plus_2T,240319,2033,LFCC,LFBP,FMY8533  ,AS32   
vols_only_data_2_plus_2T,240319,747,LFOQ,LFPN,EAP63    ,PA34   
vols_only_data_2_plus_2T,240319,854,LFLW,LFMK,NAK730   ,BE58   
vols_only_data_2_plus_2T,240319,1040,LFCR,LFMV,NAK730   ,BE58   
vols_only_data_2_plus_2T,240319,1436,LFMN,LFKC,NAK730   ,BE58   
vols_only_data_2_plus_2T,240319,855,LFBU,LFBU,FHCHV    ,EC35   
vols_only_data_2_plus_2T,240319,1100,LFBU,LFBU,FHCHV    ,EC35   
vols_only_data_2_plus_2T,240319,1302,LFBU,LFBU,FHBOI    ,EC35   
vols_only_data_2_plus_2T,240319,1517,LFBU,LFBU,FHBOI    ,EC35   
vols_only_data_2_plus_2T,240319,945,LFQT,LFQT,PGC12F   ,PC12   
vols_only_data_2_plus_2T,240319,956,LFQT,LFQT,PGC12F   ,PC12   
vols_only_data_2_plus_2T,240319,1154,LFAQ,LFAQ,PGC12F   ,PC12   
vols_only_data_2_plus_2T,240319,1314,LFAQ,LFAQ,PGC12F   ,PC12   
vols_only_data_2_plus_2T,240319,1526,LFDN,LFBH,FHISE    ,C303   
vols_only_data_2_plus_2T,240319,1307,LFAQ,LFAQ,FHGET    ,PC12   
vols_only_data_2_plus_2T,240318,513,FAOR,EGLL,BAW54    ,B789   
vols_only_data_2_plus_2T,240318,809,LFOJ,EFRO,CTM2073  ,A400   
vols_only_data_2_plus_2T,240318,852,LFBL,LFBL,CTM1731  ,E121   
vols_only_data_2_plus_2T,240318,913,LFBL,LFBL,CTM1731  ,E121   
vols_only_data_2_plus_2T,240318,925,LFBZ,LFBY,FMY8511  ,NH90   
vols_only_data_2_plus_2T,240318,937,LFBL,LFBL,CTM1723  ,E121   
vols_only_data_2_plus_2T,240318,1037,LFSI,LFBM,CTM3810  ,TBM7   
vols_only_data_2_plus_2T,240318,1436,LFBL,LFOJ,CTM1140  ,CN35   
vols_only_data_2_plus_2T,240318,1500,LFOP,LFPN,EAP61    ,PA34   
vols_only_data_2_plus_2T,240318,1255,LFBU,LFBU,FHBOI    ,EC35   
vols_only_data_2_plus_2T,240318,1412,LFBU,LFBU,FHBOI    ,EC35   
vols_only_data_2_plus_2T,240318,1627,LFLJ,LSGG,HBFVD    ,PC12   
vols_only_data_2_plus_2T,240318,1717,LFAQ,LFAQ,PGCO1T   ,PC12   
vols_only_data_2_plus_2T,240318,1018,LFKC,LFMD,N32CK    ,P46T   
vols_only_data_2_plus_2T,240318,1205,LFAT,LFAT,N77SZ    ,PA34   
