compare,Flight date_2,Time of departure/entry_2,Departure aerodrome_2,Arrival aerodrome_2,Flight identification_2,Type of aircraft_2
vols_only_data_2_plus_2T,240116,832,LFBI,LFBG,FAF6515  ,PC21   
vols_only_data_2_plus_2T,240116,1035,LFBZ,LFBZ,CTM1736  ,E121   
vols_only_data_2_plus_2T,240116,1319,LFBL,LFBG,FAF6528  ,PC21   
vols_only_data_2_plus_2T,240116,1323,LFBL,LFBL,FNY55F7  ,FA10   
vols_only_data_2_plus_2T,240116,1535,LFBU,LFBU,CTM1761  ,E121   
vols_only_data_2_plus_2T,240116,1806,LFMI,LFLS,FAF9025  ,E3CF   
vols_only_data_2_plus_2T,240116,854,LFRI,LFRI,FHDPY    ,C510   
vols_only_data_2_plus_2T,240116,1800,LFTW,LFTW,BENGA96  ,BE20   
vols_only_data_2_plus_2T,240116,1048,LFSD,LFGJ,NJE319A  ,C56X   
vols_only_data_2_plus_2T,240116,1438,HRYR,EBBR,RWD700   ,A333   
vols_only_data_2_plus_2T,240116,1618,LFAT,LFQT,FHGET    ,PC12   
vols_only_data_2_plus_2T,240116,1722,LFQT,LFQT,FHGET    ,PC12   
vols_only_data_2_plus_2T,240116,852,LFLB,EDVE,FHSKJ    ,VTOR   
vols_only_data_2_plus_2T,240117,439,HUEN,EBBR,BEL4KE   ,A333   
vols_only_data_2_plus_2T,240117,1020,LFLN,LFOA,CTM1734  ,E121   
vols_only_data_2_plus_2T,240117,1347,LFRN,LFRN,FNY55F7  ,FA10   
vols_only_data_2_plus_2T,240117,1410,LFOE,LFOE,CTM1265  ,CN35   
vols_only_data_2_plus_2T,240117,1517,LFBP,LFBP,FMBKB    ,TIGR   
vols_only_data_2_plus_2T,240117,1956,LFML,LFML,TVF20XG  ,B738   
vols_only_data_2_plus_2T,240117,1340,LFAT,LFAC,FHGET    ,PC12   
vols_only_data_2_plus_2T,240117,1418,LFAC,LFAT,FHGET    ,PC12   
vols_only_data_2_plus_2T,240117,1551,LFAC,LFAC,FHJFP    ,PC12   
vols_only_data_2_plus_2T,240118,955,LFRN,LFRN,CTM1764  ,E121   
vols_only_data_2_plus_2T,240118,1003,LFRN,LFRN,CTM1725  ,E121   
vols_only_data_2_plus_2T,240118,1248,LFRN,LFRN,FNY50F7  ,FA10   
vols_only_data_2_plus_2T,240118,1315,LFRB,LFRT,CTM1288  ,TBM7   
vols_only_data_2_plus_2T,240118,1419,LFBP,LFKB,FAF4115  ,K35R   
vols_only_data_2_plus_2T,240118,1538,LFBP,LFBP,FMCGU    ,AS32   
vols_only_data_2_plus_2T,240118,1510,LFOE,LFRN,GAF304   ,C30J   
vols_only_data_2_plus_2T,240118,1,LFRN,LFML,SWT3513  ,B733   
vols_only_data_2_plus_2T,240118,757,LFLI,LSME,FSF183A  ,PC12   
